þÿ,Unnamed: 0,Satznr,Firmen_KZ,Firma1,Firma2,Strasse,PLZ,Ort,Telefon,Telefax,Homepage,Email,Position,Anrede,Titel,Vorname,Nachname,WZ2003_1,Bezeichn_1,WZ2003_2,Bezeichn_2,WZ2003_3,Bezeichn3,Ust_ID,Amtsgerich,Handelsreg,HandelArt,HandelDatu,Ortsteil,Ortszusatz,Bundesland,Vorwahl,Leitbereic,Einwohner,Flaeche,KFZ_KZ,GeoXY,ID_KZ,BranSuchBez,Land,Anz_Mitarb,Netzwerk,grid-id,Leistungspreis
209,209.0,114669351.0,1.0,Brezelbäckerei Ditsch GmbH,,Robert-Bosch-Str. 44,55129.0,Mainz,06131/99570,06131/995730,www.ditsch.de,info@ditsch.de,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,DE811278767,,,,,Hechtsheim,,Rheinland-Pfalz,6131.0,55000.0,186061.0,97*75,MZ,49°57´28.497815 8°15´15.299603,1.0,Bäckereien,DEUTSCHLAND,101 bis 500,Mainzer Netze* Grundversorger entega,55118101,102.26
217,217.0,167394433.0,1.0,Kinkartz Wilhelm GmbH & Co. KG,,Nassauer Str. 31-33,52146.0,Würselen,02405/7090,02405/709289,,,,,,,,'51.1,Handelsvermittlung,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,,,,,,Broichweiden,,Nordrhein-Westfalen,2405.0,52000.0,37130.0,34*39,AC,50°49´41.428848 6°10´9.635339,2.0,Großhandel* Vertrieb* Ex-* Import,DEUTSCHLAND,101 bis 500,enwor - energie & wasser vor ort GmbH* gesamtes Stromnetz,52134001,87.74
222,222.0,121167344.0,1.0,Meininger Wurstspezialitäten,aus Thüringen GmbH,An der Winde 14,98617.0,Meiningen,03693/94180,03693/941827,www.meininger-wurst.de,,,,,,,15.13.0,Fleischverarbeitung,'nan,,'nan,,,,,,,Dreißigacker,,Thüringen,3693.0,98600.0,21686.0,41*38,SM,50°33´35.108927 10°21´41.20992,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Meiningen GmbH-GV Thüringer Energie AG,98617102,74.12
224,224.0,155850480.0,1.0,Vivil A.Müller GmbH & Co. KG,,Moltkestr. 33,77654.0,Offenburg,0781/4780,0781/478175,www.vivil.de,info@vivil.de,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,DE142540239,,,,,Nordoststadt,,Baden-Württemberg,781.0,,58810.0,78*39,OG,48°28´1.662527 7°57´19.18044,1.0,,DEUTSCHLAND,101 bis 500,Netze Mittelbaden,77933001,78.79
228,228.0,148646803.0,1.0,Südfleisch Waldkraiburg GmbH,,Traunreuter Str. 7,84478.0,Waldkraiburg,08638/6060,,,,Geschf.,Herr,,Klaus,Erber,15.13.0,Fleischverarbeitung,'nan,,'nan,,,Traunstein,HRB 18517,Aenderung,20121114.0,Waldkraiburg,,Bayern,8638.0,84440.0,24415.0,21*53,MÜ,48°12´58.685040 12°24´55.257047,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Waldkraiburg GmbH* gesamtes Stromnetz,84478001,67.59
229,229.0,166734126.0,1.0,The Lorenz Bahlsen Snack-World GmbH & Co. KG,,Industriestr. 11,92431.0,Neunburg,09672/460,09672/3826,,,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,,,,,Neunburg,vorm Wald,Bayern,9672.0,92400.0,8223.0,110*16,SAD,49°20´14.96868 12°24´9.895428,2.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Neunburg vorm Wald Strom GmbH* gesamtes Stromnetz,92431001,60.83
233,233.0,120983095.0,1.0,Hochwald Sprudel Schupp GmbH,,Am Sauerbrunnen 25-33,55767.0,Schwollen,06787/1010,06787/101119,www.hochwald-sprudel.de,info@hochwald-sprudel.de,,,,,,'15.98,Gewinnung natürlicher Mineralwässer* Herstellung von Erfrischungsgetränken,'nan,,'nan,,,,,,,,,Rheinland-Pfalz,6787.0,55700.0,472.0,8*83,BIR,49°42´26.866187 7°10´8.467716,1.0,,DEUTSCHLAND,101 bis 500,Westnetz GmbH- Pachtnetz OIE,46483006,88.25
235,235.0,190333523.0,1.0,Hansa-Heemann AG,,Halstenbeker Weg 98,25462.0,Rellingen,,,,,,,,,,'15.98,Gewinnung natürlicher Mineralwässer* Herstellung von Erfrischungsgetränken,'nan,,'nan,,,Pinneberg,HRB 3619 PI,Aenderung,20100205.0,,,Schleswig-Holstein,4101.0,25400.0,13726.0,13*19,PI,53°38´37.270464 9°50´22.848791,1.0,,DEUTSCHLAND,101 bis 500,SW Elmshorn* ehemals Netzgebeit SH-Netz,25336003,107.94
241,241.0,109585902.0,1.0,Halloren Schokoladenfabrik AG,,Delitzscher Str. 70,6112.0,Halle,0345/56420,0345/5642299,www.halloren.de,info@halloren.de,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,DE139650436,,,,,Innenstadt,Saale,Sachsen-Anhalt,345.0,6000.0,238497.0,135*01,HAL,51°28´41.415455 12°0´28.278971,1.0,Süßwaren,DEUTSCHLAND,101 bis 500,Energieversorgung Halle Netz GmbH* gesamtes Stromnetz,6112001,114.14
244,244.0,121151444.0,1.0,Privatbrauerei Wittingen GmbH,,Ernst-Stackmann-Str. 7,29378.0,Wittingen,05831/2550,05831/25569,www.wittinger.com,Info@wittinger.com,,,,,,15.96.0,Herstellung von Bier,'nan,,'nan,,,,,,,Wittingen,,Niedersachsen,5831.0,29370.0,12291.0,225*09,GF,52°43´35.791787 10°44´38.362307,1.0,Brauereien,DEUTSCHLAND,101 bis 500,LSW Netz GmbH & Co.KG,38440201,125.45
246,246.0,166971776.0,1.0,Frankonia Schokoladenwerke GmbH,,Daimlerstr. 9,97209.0,Veitshöchheim,0931/970460,0931/9704691,,,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,,,,,,Veitshöchheim,,Bayern,931.0,97000.0,10112.0,10*76,WÜ,49°49´52.330008 9°54´15.695243,2.0,Süßwaren,DEUTSCHLAND,101 bis 500,Energieversorgung Lohr-Karlstadt und Umgebung GmbH & Co. KG* gesamtes Stromnetz,97753001,110.23
250,250.0,171443087.0,2.0,Albert Schiller,,Luisenburgstr. 21,95032.0,Hof,09281/730810,09281/7308110,www.metzgerei-schiller.com,info@metzgerei-schiller.com,Inh.,Herr,,Albert,Schiller,15.13.0,Fleischverarbeitung,52.22.0,Einzelhandel mit Fleisch* Fleischwaren* Geflügel und Wild,'nan,,,,,,,Innenstadt,,Bayern,9281.0,95000.0,49163.0,58*02,HO,50°17´32.445743 11°55´7.716755,1.0,Fleisch und Wurstkonserven,DEUTSCHLAND,101 bis 500,HEW HofEnergie+Wasser GmbH* gesamtes Stromnetz,95028001,95.63
252,252.0,126630305.0,1.0,Selters Mineralquelle Augusta Victoria GmbH,,Seltersweg 1,35792.0,Löhnberg,06471/6090,06471/60949,www.selters.de,info@selters.de,,,,,,'15.98,Gewinnung natürlicher Mineralwässer* Herstellung von Erfrischungsgetränken,'75,Öffentliche Verwaltung* Verteidigung* Sozialversicherung,'nan,,,,,,,Löhnberg,,Hessen,6471.0,35770.0,4480.0,33*85,LM,50°30´47.986019 8°16´26.576471,1.0,Mineralwasser und -brunnen,DEUTSCHLAND,101 bis 500,Syna GmbH (Regelgebiet Amprion),65929201,80.07
253,253.0,132301261.0,1.0,Schapfenmühle,,Franzenhauserweg 21,89081.0,Ulm,0731/967460,0731/9674650,www.schapfenmuehle.de,info@schapfenmuehle.de,,,,,,'15.7,Herstellung von Futtermitteln,'nan,,'nan,,,,,,,Jungingen,,Baden-Württemberg,731.0,89000.0,120107.0,118*69,UL,48°25´54.455555 9°59´2.709600,1.0,Nahrungs- und Nährmittelhersteller,DEUTSCHLAND,101 bis 500,SWU Netze* (Regelgebiet ENBW),89073001,87.84
257,257.0,180286293.0,1.0,Milchwerk Jäger GmbH,,Hauptstr. 38,83527.0,Haag,08072/91890,08072/918990,www.milchwerk-jaeger.de,information@milchwerk-jaeger.de,,,,,,15.51.0,Milchverarbeitung,'nan,,'nan,,,,,,,Haag,in Oberbayern,Bayern,8072.0,83500.0,6211.0,20*43,MÜ,48°9´42.477840 12°10´55.741655,1.0,Milchindustrie,DEUTSCHLAND,101 bis 500,KWH Netz GmbH* gesamtes Stromnetz,83527001,89.84
259,259.0,117603120.0,1.0,Erlenbacher Backwaren GmbH,,Wasserweg 39,64521.0,Groß-Gerau,06152/8030,06152/803347,www.erlenbacher.de,contact@erlenbacher.com,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,,,,,Groß-Gerau,,Hessen,6152.0,64500.0,23519.0,54*47,GG,49°55´29.692812 8°29´54.491244,1.0,Bäckereien,DEUTSCHLAND,101 bis 500,Stadtwerke Groß-Gerau Versorgungs GmbH* gesamtes Stromnetz,64521001,91.99
276,276.0,113121272.0,1.0,Westfleisch e.G.,,Rote Mühle 54,32312.0,Lübbecke,05741/2780,05741/2785179,,,,,,,,'91.33,Interessenvertretungen und Vereinigungen* anderweitig nicht genannt,15.13.0,Fleischverarbeitung,'nan,,,,,,,Lübbecke,,Nordrhein-Westfalen,5741.0,32290.0,26263.0,65*04,MI,52°18´56.27807 8°37´13.936008,2.0,,DEUTSCHLAND,101 bis 500,Netzgesellschaft Lübbecke mbH* gesamtes Stromnetz,32312001,81.27
283,283.0,150210959.0,1.0,Schwermer Dietrich Stiel GmbH,,Königsberger Str. 30,86825.0,Bad Wörishofen,08247/35080,,www.schwermer.de,,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,,,,,,Gartenstadt,,Bayern,8247.0,86800.0,13930.0,57*8,MN,48°0´36.326915 10°36´55.46088,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Bad Wörishofen* gesamtes Stromnetz,86825001,74.18
285,285.0,186611870.0,1.0,heiß und kalt getränke und catering GmbH,,Dr.-Rudolf-Schieber-Str. 12,73463.0,Westhausen,07363/95260,07363/952695,www.shop-heiss-und-kalt.de,,,,,,,55.52.0,Caterer,'15.9,Herstellung von Getränken,'52,Einzelhandel (ohne Handel mit Kraftfahrzeugen und ohne Tankstellen)* Reparatur von Gebrauchsgütern,DE144636794,,,,,Westhausen,,Baden-Württemberg,7363.0,73400.0,5885.0,38*46,AA,48°52´54.763031 10°10´51.215987,1.0,Catering,DEUTSCHLAND,101 bis 500,NG Ostwürttemberg* gesamtes Netzgebiet,73479001,98.69
286,286.0,121233810.0,1.0,DMK Deutsches Milchkontor GmbH,,Industriestr. 27,27404.0,Zeven,04281/720,04281/72297,www.dmk.de,info@dmk.de,Geschf.,Herr,Dr.,Dirk,Gloy,'15.52,Herstellung von Speiseeis,'nan,,'nan,,,Tostedt,HRB 203044,Aenderung,20120817.0,Zeven,,Niedersachsen,4281.0,27390.0,12602.0,73*9,ROW,53°16´42.542436 9°18´25.584299,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Zeven GmbH,27404001,66.52
287,287.0,110435358.0,1.0,Deutsches Milchkontor e.G.,,Industriestr. 27,27404.0,Zeven,,,,,,,,,,'15.52,Herstellung von Speiseeis,'nan,,'nan,,,Tostedt,GnR 120009,Aenderung,20121205.0,Zeven,,Niedersachsen,4281.0,27390.0,12602.0,73*9,ROW,53°16´42.542436 9°18´25.584299,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Zeven GmbH,27404001,66.52
288,288.0,176926243.0,1.0,Grossmann Feinkost GmbH,,Liebigstr. 3,21465.0,Reinbek,040/727750,040/7226011,www.grossmann-feinkost-gmbh.de,Kundenservice@grossmann-feinkost.de,,,,,,'15.8,Sonstiges Ernährungsgewerbe (ohne Getränkeherstellung),'nan,,'nan,,DE229749415,,,,,,,Schleswig-Holstein,40.0,21450.0,25636.0,31*23,OD,53°31´18.21576 10°13´56.89884,1.0,Feinkost,DEUTSCHLAND,101 bis 500,e-werk Sachsenwald GmbH,21465001,127.25
300,300.0,116996680.0,1.0,Rosen Eiskrem GmbH,,Brauereistr. 17,52525.0,Waldfeucht,02452/99770,,www.roseneis.de,,,,,,,'15.52,Herstellung von Speiseeis,'nan,,'nan,,DE811247536,,,,,Haaren,,Nordrhein-Westfalen,2455.0,52500.0,9685.0,30*27,HS,51°5´25.343051 6°2´14.842319,1.0,,DEUTSCHLAND,101 bis 500,Veolia Industriepark* Industrienetz Oberbruch,52525102,100.21
308,308.0,145581162.0,1.0,Zimmermann GmbH,,Max-Planck-Str. 20,40699.0,Erkrath,0211/208249,0211/252580,,,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,,,,,Unterfeldhaus,,Nordrhein-Westfalen,2104.0,40000.0,47807.0,26*86,ME,51°11´47.492232 6°55´4.662696,2.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Erkrath GmbH* gesamtes Stromnetz,40699001,65.55
319,319.0,168603662.0,1.0,Franken Brunnen GmbH & Co. KG,,Illesheimer Str. 15,91438.0,Bad Windsheim,09841/66100,09841/661025,www.residenzquelle.de,info@residenzquelle.de,,,,,,'15.98,Gewinnung natürlicher Mineralwässer* Herstellung von Erfrischungsgetränken,'nan,,'nan,,,,,,,Bad Windsheim,,Bayern,9841.0,91400.0,12113.0,78*25,NEA,49°29´41.322552 10°24´4.609512,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Bad Windsheim* gesamtes Stromnetz,91438001,126.81
321,321.0,198980209.0,1.0,Heideblume Molkerei Elsdorf-Rotenburg e.G.,,Molkereistr. 6,27404.0,Elsdorf,04286/93000,04286/930070,www.molkerei-heideblume.de,,,,,,,'91.33,Interessenvertretungen und Vereinigungen* anderweitig nicht genannt,15.51.0,Milchverarbeitung,'nan,,DE116924216,,,,,Elsdorf,,Niedersachsen,4286.0,27390.0,2083.0,49*01,ROW,53°14´19.813848 9°20´59.878176,1.0,Genossenschaften,DEUTSCHLAND,101 bis 500,Stadtwerke Zeven GmbH,27404001,66.52
322,322.0,146128955.0,1.0,Cargill GmbH,,Rüdekenstr. 51,38239.0,Salzgitter,05341/2240,05341/224888,,,,,,,,15.96.0,Herstellung von Bier,15.97.0,Herstellung von Malz,15.41.0,Herstellung von rohen Ölen und Fetten,,,,,,Beddingen,,Niedersachsen,5341.0,38200.0,108763.0,223*91,SZ,52°11´34.674396 10°25´35.554115,2.0,Brauereien,DEUTSCHLAND,101 bis 500,Avacon* Grundversorger WEVG GmbH Salzgitter,38345006,123.12
328,328.0,118181464.0,1.0,Feinbäckerei Otten GmbH & Co. KG,,Gewerbestr. Süd 74,41812.0,Erkelenz,02431/96080,02431/960850,www.feinbaeckerei-otten.de,,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),15.81.2,Herstellung von Konditorwaren,'nan,,,Mönchengladbach,HRA 4534,Aenderung,20091118.0,Erkelenz,,Nordrhein-Westfalen,2431.0,41800.0,44520.0,117*35,HS,51°4´6.837527 6°18´46.841507,1.0,,DEUTSCHLAND,101 bis 500,NEW Netz* GV NEW Niederrhein Energie,52511311,68.88
333,333.0,104304526.0,1.0,Wiberg GmbH,,Eichendorffstr. 25,83395.0,Freilassing,08654/4700,08654/470840,www.wiberg.eu,info@wiberg.eu,,,,,,15.87.0,Herstellung von Würzmitteln und Saucen,'nan,,'nan,,,,,,,Freilassing,,Bayern,8654.0,83380.0,15837.0,14*79,BGL,47°51´13.890636 12°57´42.918623,1.0,,DEUTSCHLAND,101 bis 500,Bayernwerk Netz* Regelgebiet APG,93049002,129.92
347,347.0,151820240.0,1.0,Danone GmbH,,Richard-Reitzner-Allee 1,85540.0,Haar,089/46147043,089/62733335,www.danonecup.de,dnc.germany@danone.com,,,,,,15.51.0,Milchverarbeitung,'nan,,'nan,,,,,,,Haar,,Bayern,89.0,85500.0,17623.0,12*9,M,48°6´47.528495 11°43´57.20771,1.0,Nahrungs- und Nährmittelhersteller,DEUTSCHLAND,101 bis 500,SVH Stromversorgung Haar GmbH* gesamtes Stromnetz,85540001,76.6
349,349.0,141777206.0,1.0,König Ludwig International GmbH & Co. KG,,Schloßstr. 8,82269.0,Geltendorf,08193/9907030,,royal-bavarian-beer-selection.com,info@kaltenberg.com,,,,,,15.96.0,Herstellung von Bier,'nan,,'nan,,,Augsburg,HRA 16309,Neueintragung,20080620.0,Kaltenberg,,Bayern,8193.0,82240.0,5571.0,34*81,LL,48°7´53.167007 10°59´37.657211,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Fürstenfeldbruck GmbH* Stammgebiet,82256001,86.33
350,350.0,154017686.0,1.0,Danone GmbH,,Schönfeldstr. 12a,83022.0,Rosenheim,08031/3080,08031/308100,,,,,,,,15.51.0,Milchverarbeitung,'51.1,Handelsvermittlung,'nan,,,,,,,Innenstadt,,Bayern,8031.0,83000.0,60108.0,37*22,RO,47°51´19.753307 12°8´4.6392,2.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Rosenheim Netze GmbH* gesamtes Stromnetz,83022001,90.36
366,366.0,147689236.0,1.0,Goldsteig Käsereien Bayerwald GmbH,,Siechen 11,93413.0,Cham,09971/8440,09971/8441090,www.goldsteig.de,info@goldsteig.de,,,,,,85.32.5,Sonstige soziale Beratungsstellen,15.51.0,Milchverarbeitung,'nan,,,,,,,Siechen,,Bayern,9971.0,93400.0,17322.0,80*68,CHA,49°13´40.770875 12°40´47.999,1.0,Beratungsstellen,DEUTSCHLAND,501-1000,SW Cham* GV E.On Energie Deutschland,93413002,71.04
375,375.0,138530123.0,1.0,Förstina-Sprudel Mineral- und Heilquelle,Ehrhardt & Sohn GmbH & Co.,Rhönstr. 48,36124.0,Eichenzell,06656/570,06656/57500,www.foerstina-sprudel.de,info@foerstina.com,,,,,,'15.98,Gewinnung natürlicher Mineralwässer* Herstellung von Erfrischungsgetränken,'nan,,'nan,,DE112409217,,,,,Lütter,,Hessen,6659.0,36000.0,11006.0,56,FD,50°28´48.641268 9°45´55.129175,1.0,Mineralwasser und -brunnen,DEUTSCHLAND,101 bis 500,OsthessenNetz GmbH,36037001,78.52
379,379.0,163469777.0,1.0,Hawesta-Feinkost Hans Westphal GmbH & Co. KG,,Mecklenburger Str. 140,23568.0,Lübeck,0451/69350,0451/6935155,www.hawesta-gewinnspiel.de,info@hawesta.de,,,,,,'15.8,Sonstiges Ernährungsgewerbe (ohne Getränkeherstellung),'nan,,'nan,,DE135074578,,,,,Schlutup,,Schleswig-Holstein,451.0,,211874.0,214*19,HL,53°53´17.184083 10°47´23.125416,1.0,Feinkost,DEUTSCHLAND,101 bis 500,Netz Lübeck* gesamtes Stromnetz,23558001,116.74
380,380.0,198643669.0,1.0,Campina GmbH,,Hans-Böckler-Str. 50,33334.0,Gütersloh,05241/9530,05241/953268,,,,,,,,15.51.0,Milchverarbeitung,'nan,,'nan,,,,,,,Innenstadt,,Nordrhein-Westfalen,5241.0,33240.0,96168.0,111*99,GT,51°53´1.360679 8°21´14.96016,2.0,,DEUTSCHLAND,101 bis 500,Gemeindewerke Steinhagen GmbH* gesamtes Stromnetz,33803001,112.21
381,381.0,178121587.0,1.0,Kessko Kessler & Comp. GmbH & Co. KG,,Königswinterer Str. 11-21,53227.0,Bonn,0228/400000,0228/4000077,www.kessko.de,info@kessko.de,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,,,,,,Beuel,,Nordrhein-Westfalen,228.0,53000.0,311938.0,141*22,BN,50°44´21.890292 7°7´42.234239,1.0,,DEUTSCHLAND,101 bis 500,BonnNetz* GV SWB Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,53111001,62.64
384,384.0,148984297.0,1.0,Lieken Brot- und Backwaren GmbH,,An der Wethmarheide 21,44536.0,Lünen,02306/20010,02306/25450,,,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,,,,,Brambauer,,Nordrhein-Westfalen,2306.0,44500.0,90800.0,59*19,UN,51°35´58.914780 7°28´54.400548,2.0,Bäckereien,DEUTSCHLAND,101 bis 500,Stadtwerke Lünen GmbH* gesamtes Stromnetz,44534001,84.42
388,388.0,185908493.0,1.0,Tiernahrung Deuerer GmbH,,Rinklinger Str. 13,75015.0,Bretten,07252/93690,07252/936969,www.edel-cat.de,info@deuerer.de,,,,,,'15.7,Herstellung von Futtermitteln,15.72.0,Herstellung von Futtermitteln für sonstige Tiere,'nan,,,,,,,Rinklingen,,Baden-Württemberg,7252.0,75000.0,27948.0,71*12,KA,49°2´8.717315 8°41´25.222308,1.0,Zoologischer Bedarf,DEUTSCHLAND,101 bis 500,Stadtwerke Bretten GmbH* gesamtes Stromnetz,75015001,79.88
392,392.0,102373707.0,1.0,Dinkelacker-Schwaben Bräu GmbH & Co. KG,,Tübinger Str. 46,70178.0,Stuttgart,0711/64810,,,,,,,,,15.96.0,Herstellung von Bier,'nan,,'nan,,,Stuttgart,HRA 720072,Aenderung,20120514.0,Süd,,Baden-Württemberg,711.0,70000.0,590657.0,207*36,S,48°46´5.880647 9°10´15.863556,1.0,,DEUTSCHLAND,101 bis 500,Stuttgart Netze* gesamtes Netzgebiet,70190001,63.98
394,394.0,137268355.0,1.0,Trede & von Pein GmbH & Co. KG,,Rudolf-Diesel-Str. 2-4,25524.0,Itzehoe,04821/60000,04821/600078,www.tredeundvonpein.de,info@tredeundvonpein.de,,,,,,'15.7,Herstellung von Futtermitteln,'nan,,'nan,,,,,,,,,Schleswig-Holstein,4821.0,25500.0,33277.0,28*03,IZ,53°55´13.225080 9°30´33.43499,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Itzehoe GmbH,25524001,112.53
395,395.0,118786757.0,1.0,Neff Rudolf GmbH,,Koellestr. 10,76189.0,Karlsruhe,0721/950000,0721/504093,www.baeckerei-neff.de,info@baeckerei-neff.de,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),15.81.2,Herstellung von Konditorwaren,'nan,,,,,,,Daxlanden,,Baden-Württemberg,721.0,76000.0,284163.0,173*46,KA,49°0´39.258828 8°18´59.442335,1.0,Bäckereien,DEUTSCHLAND,101 bis 500,Stadtwerke Karlsruhe Netzservice GmbH* gesamtes Stromnetz,76127001,72.42
397,397.0,166228337.0,1.0,Crespel & Deiters GmbH & Co.,,Groner Allee 76,49479.0,Ibbenbüren,05451/50000,,www.crespel-deiters.de,info@crespel-deiters.de,,,,,,'15.62,Herstellung von Stärke und Stärkeerzeugnissen,'nan,,'nan,,DE125489983,,,,,Stadt,,Nordrhein-Westfalen,5451.0,49460.0,50544.0,108*54,ST,52°15´51.424235 7°42´19.947455,1.0,,DEUTSCHLAND,101 bis 500,Saerbecker Ver- und Entsorgungsnetzgesellschaft mbH* gesamtes Stromnetz,49525401,88.25
398,398.0,113361770.0,1.0,FSP Frischsaft,Frische Produktionsgesellschaft mbH,Ruckes 90,41238.0,Mönchengladbach,,02166/86710,,,Geschf.,Herr,,Tino,Mocken,15.32.0,Herstellung von Frucht- und Gemüsesäften,'nan,,'nan,,,Mönchengladbach,HRB 4642,Aenderung,20100909.0,Giesenkirchen,,Nordrhein-Westfalen,2161.0,41000.0,261966.0,170*44,MG,51°9´39.817584 6°29´40.159932,1.0,,DEUTSCHLAND,101 bis 500,NEW Netz GmbH,52511304,68.88
401,401.0,142949978.0,1.0,Max Probst GmbH & Co. KG,,Uellendahler Str. 190,42109.0,Wuppertal,0202/75990,0202/759947,www.probst-heuser.de,,,,,,,'15.89,Herstellung von sonstigen Nahrungsmitteln (ohne Getränke),'nan,,'nan,,,,,,,Elberfeld,,Nordrhein-Westfalen,202.0,42000.0,361077.0,168*37,W,51°16´26.343479 7°9´2.205611,1.0,Nahrungsmittel und Lebensmittel Großhandel,DEUTSCHLAND,101 bis 500,WSW Netz GmbH* gesamtes Stromnetz,42281001,108.45
405,405.0,134433581.0,1.0,Eisbär Eis GmbH,,Eisbärstr. 1,21641.0,Apensen,04167/91230,04167/912350,www.eisbaereis.de,info@eisbaer-eis.de,,,,,,'15.52,Herstellung von Speiseeis,'nan,,'nan,,,,,,,,,Niedersachsen,4167.0,21600.0,3001.0,20*74,STD,53°26´37.255091 9°37´12.431099,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Buxtehude GmbH,21614001,41.13
415,415.0,125578112.0,1.0,Sinnack Backspezialitäten GmbH & Co. KG,,Harderhook 15,46395.0,Bocholt,02871/25050,,www.sinnack.de,info@sinnack.de,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,,,,,Mussum,,Nordrhein-Westfalen,2871.0,46360.0,73696.0,119*37,BOR,51°48´33.384240 6°33´30.706487,1.0,,DEUTSCHLAND,101 bis 500,Bocholter Energie- und Wasserversorgung GmbH* gesamtes Stromnetz,46395001,104.02
416,416.0,193183986.0,1.0,Vogt & Wolf GmbH,,Herzebrocker Str. 43,33330.0,Gütersloh,05241/87802,05241/878107,,,,,,,,15.13.0,Fleischverarbeitung,'nan,,'nan,,,,,,,Innenstadt,,Nordrhein-Westfalen,5241.0,33240.0,96168.0,111*99,GT,51°54´15.31043 8°21´50.959980,2.0,Fleischwaren,DEUTSCHLAND,101 bis 500,Netzgesellschaft Gütersloh mbH,33330001,75.04
417,417.0,154384643.0,1.0,WAWI Euro GmbH,,Im Geierspiel 2,66981.0,Münchweiler,,,,,Geschf.,Herr,,Andreas,Nickenig,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,,Zweibrücken,HRB 23351,Aenderung,20111220.0,,an der Rodalb,Rheinland-Pfalz,6395.0,66920.0,3007.0,27*19,PS,49°12´43.775927 7°41´37.297500,1.0,,DEUTSCHLAND,101 bis 500,Gemeindewerke Münchweiler a. d. Rodalb,66981002,127.24
418,418.0,174671496.0,1.0,Brauerei Ferdinand Schumacher GmbH & Co. KG,,Oststr. 123,40210.0,Düsseldorf,0211/8289020,0211/82890244,www.brauerei-schumacher.de,info@brauerei-schumacher.de,,,,,,15.96.0,Herstellung von Bier,'nan,,'nan,,,,,,,Stadtmitte,,Nordrhein-Westfalen,211.0,40000.0,572663.0,217*01,D,51°13´17.76503 6°47´7.250243,1.0,Brauereien,DEUTSCHLAND,101 bis 500,Netzgesellschaft Düsseldorf mbH,40215001,71.42
420,420.0,125051840.0,1.0,Nordzucker AG,,An der Zuckerfabrik 1,29525.0,Uelzen,05128/405135,0581/89100,www.nordzucker.de,info@nordzucker.de,,,,,,'15.83,Herstellung von Zucker,'nan,,'nan,,,,,,,Uelzen,,Niedersachsen,581.0,29500.0,35203.0,135*84,UE,52°57´46.871999 10°33´29.592000,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Uelzen GmbH* gesamtes Stromnetz,29525001,95.93
421,421.0,189017518.0,1.0,Develey Senf & Feinkost GmbH,,Ottobrunner Str. 45,82008.0,Unterhaching,089/61102249,089/61102,www.develey.de,foodservice@develey.de,,,,,,'15.8,Sonstiges Ernährungsgewerbe (ohne Getränkeherstellung),'nan,,'nan,,,,,,,,,Bayern,89.0,82000.0,21002.0,8*73,M,48°3´36.622692 11°37´46.130268,1.0,Feinkost,DEUTSCHLAND,501-1000,Bayernwerk Netz,93049004,129.92
